X,Y,Type,IsAlignmentKey,Enable_LIV,Enable_NF,Enable_FF,Status_LIV,Status_NF,Status_FF,Emitter Mapping
71,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
70,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
69,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
68,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,168,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
66,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
67,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
68,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
69,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
70,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
71,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
72,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
73,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,169,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
76,170,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
75,170,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
74,170,Type2,0,1,1,1,IOP,MODE_M2,IOP,WD048_OsakaGen2_MP_380e_EmitterMap_v0
